term_uid	gene_id	weight	gene_term_degree	term_gene_degree
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	10113	1.0	2	28
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	10989	1.0	3	28
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	112	1.0	1	28
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	1306	1.0	1	28
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	1337	1.0	2	28
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	1349	1.0	2	28
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	1376	1.0	1	28
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	1431	1.0	2	28
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	1652	1.0	1	28
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	204	1.0	1	28
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	2053	1.0	2	28
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	2109	1.0	3	28
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	2879	1.0	3	28
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	334	1.0	1	28
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	4958	1.0	1	28
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	50	1.0	2	28
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	5004	1.0	1	28
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	5209	1.0	2	28
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	5495	1.0	1	28
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	6390	1.0	2	28
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	6391	1.0	2	28
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	6576	1.0	1	28
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	6817	1.0	1	28
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	7086	1.0	1	28
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	8322	1.0	1	28
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	8404	1.0	1	28
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	8491	1.0	1	28
fgsea_msigdb_H_entrez:HALLMARK_ADIPOGENESIS	948	1.0	2	28
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	11146	1.0	1	55
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	1230	1.0	1	55
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	1445	1.0	1	55
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	1520	1.0	3	55
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	1956	1.0	4	55
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	2213	1.0	1	55
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	2533	1.0	1	55
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	3059	1.0	2	55
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	3109	1.0	1	55
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	3111	1.0	1	55
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	3117	1.0	2	55
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	3133	1.0	1	55
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	3394	1.0	4	55
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	355	1.0	3	55
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	3565	1.0	2	55
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	3589	1.0	1	55
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	3592	1.0	1	55
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	3593	1.0	3	55
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	3594	1.0	1	55
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	3596	1.0	2	55
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	3600	1.0	3	55
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	3603	1.0	1	55
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	3606	1.0	2	55
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	3662	1.0	3	55
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	3848	1.0	2	55
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	3937	1.0	4	55
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	4153	1.0	3	55
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	4690	1.0	1	55
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	4843	1.0	1	55
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	5199	1.0	1	55
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	5579	1.0	1	55
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	567	1.0	4	55
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	602	1.0	2	55
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	6189	1.0	1	55
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	6223	1.0	1	55
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	6356	1.0	1	55
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	6363	1.0	1	55
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	6885	1.0	2	55
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	6891	1.0	1	55
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	6892	1.0	3	55
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	7042	1.0	3	55
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	7163	1.0	4	55
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	7186	1.0	2	55
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	7334	1.0	2	55
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	822	1.0	1	55
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	8672	1.0	1	55
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	8767	1.0	1	55
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	916	1.0	1	55
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	925	1.0	1	55
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	926	1.0	1	55
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	940	1.0	1	55
fgsea_msigdb_H_entrez:HALLMARK_ALLOGRAFT_REJECTION	959	1.0	2	55
